"project_name","start_end_SHA","noiseType","changeSet-triple"
"E:\project-DataSets20240917\spring-data-neo4j","[59042a4a99ac22c4d9a83bdd5bc4bc9f3cf91bb9, 71430e59c21d414712e6f94a19afa634cdc53d0f, d3774df138e593e5a4f26db7960b587ddf290e91, ec5c0cb7cb59f3ee60d5f38bb9587720c723a60b]","[NO_NOISE, NO_NOISE, NO_NOISE, [spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_VARIABLE]]","[addDateTimeFormatPatterns, getCurrentUserAccount, populateModelWithCurrentUserAccountIdAsLong]"
"E:\project-DataSets20240917\spring-data-neo4j","[1a4a0165e48b7cffc538ce13f5a40ad006501116, 23b518e3cf853f69937ab47364a190a280b39af2, 5b55973e656b960bc8a72839fdca0ad904f6a5d2, 7ec77a7bf0ee8aa407159d669afdbaf36840ddf5]","[[spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_VARIABLE], [spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_VARIABLE], NO_NOISE, NO_NOISE]","[convert, getCurrentUserAccount, getRestaurantConverter]"
"E:\project-DataSets20240917\spring-data-neo4j","[01f0a8f346e1dc288b32651105aa565f1834c434, 9164831fee2706624c0a07248942a02eba6e1839, b35f4ad8ddb967f73016c3a77438d9e62276f967, d450d2c4509eb8a263ed7cc671cf2a17702d6cae]","[NO_NOISE, NO_NOISE, [spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/domain/Restaurant.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/domain/Restaurant.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/domain/TopRatedRestaurantFinder.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/domain/TopRatedRestaurantFinder.java|RENAME_VARIABLE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_VARIABLE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/FriendController.java|EXTRACT_VARIABLE, spring-data-neo4j-examples/myrestaurants-social/src/main/java/com/springone/myrestaurants/web/FriendController.java|INVERT_CONDITION], NO_NOISE]","[CalculateRatingPredicate, addDateTimeFormatPatterns, getCity, getCurrentUserAccount, getId, getName, getRestaurantConverter, getState, getTopNRatedRestaurants, getVersion, getZipCode, populateModelWithCurrentUserAccountIdAsLong, setCity, setId, setName, setState, setVersion, setZipCode, toString]"
"E:\project-DataSets20240917\spring-data-neo4j","[08c67c4149f9112e9960b7eb7d96ab17e2b0ae3e, 2d3eac4ed75e860b3f9e8ac03c07da4405a47103, b64d8217cdd63da052fe659e50651fd2e6160725, e1263ecfaf0c33ca432585c154113a26893e40ef]","[[spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/domain/UserAccount.java|RENAME_ATTRIBUTE], NO_NOISE, NO_NOISE, NO_NOISE]","[getBirthDate, getUserName, setBirthDate, setUserName, toString]"
"E:\project-DataSets20240917\spring-data-neo4j","[097de5ec906777be182f32027cdefd8edfacf6b9, cee266d7b351c3cfd81d340b8f5623a4c4eae4df, ec384c7d57eba0eb70268cb905f36d3f2293cf0e, eec49ef992c3f4b69e034554bddab1c6c633164b]","[[spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/domain/UserAccount.java|RENAME_ATTRIBUTE], NO_NOISE, NO_NOISE, NO_NOISE]","[getBirthDate, getFirstName, setBirthDate, setFirstName, toString]"
"E:\project-DataSets20240917\spring-data-neo4j","[8709135d325b40fcd8c5a7acc24e9946623544e3, 8cbd4b1c32af55a5c406c6c88a173483a71793e1, eac9a4821a1bf6ba24353c2c4e9c55b2459886f9, fc68c0840fb9d8b8e79ce6d081dee6f27e94969a]","[NO_NOISE, NO_NOISE, [spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/domain/UserAccount.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/domain/UserAccount.java|RENAME_VARIABLE], NO_NOISE]","[getBirthDate, setBirthDate, toString]"
"E:\project-DataSets20240917\spring-data-neo4j","[331ed6346699f38c86def067281c426a035daaf1, 6570d589a4cd0d672fa7a266e426292ada04d0d0, 6ee66815e73011e636451d7940975648c504ff12, f32657cd4461e8e86ab81bbe5ebf9370ee71fcf6]","[NO_NOISE, [spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/domain/UserAccount.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/domain/UserAccount.java|RENAME_PARAMETER], NO_NOISE, [spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/domain/UserAccount.java|RENAME_PARAMETER]]","[getId, setFavorites, setId, toString]"
"E:\project-DataSets20240917\spring-data-neo4j","[341c265a48658d417c7f7b530ffc900104505f75, 6e2b755d52756f266996e17303e6cba38bbf9c48, 9d083249daee7bd9add3de46958a6977ca11bd92, c56060db7772b85c1532383f5a29f9d7c1d8a943]","[[spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/dao/RestaurantDao.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/dao/RestaurantDao.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/domain/UserAccount.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_PARAMETER, spring-data-neo4j-examples/myrestaurants-original/src/main/java/com/springone/myrestaurants/web/BaseApplicationController.java|RENAME_VARIABLE], [spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorInfo.java|RENAME_PARAMETER], [spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorInfo.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorInfo.java|RENAME_PARAMETER], NO_NOISE]","[ActorInfo, findByName, getBirthDate, getFavorites, getFirstName, getId, getLastName, getRole, getUserName, getVersion, populateCurrentUserName, setBirthDate, setFavorites, setFirstName, setId, setLastName, setName, setRole, setUserName, setVersion, toString]"
"E:\project-DataSets20240917\spring-data-neo4j","[21657a833678d2e0942dfdef293f37b83d98d347, 2a31ec3d0bb93cc94bbde168161c4e4fa4e1181d, 628bf1df58e524b770b10216fe8f38ceb328afcf, e94559e7a45d2321cdfebfccf4dfa854d77b1e5e]","[NO_NOISE, NO_NOISE, NO_NOISE, [spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorInfo.java|RENAME_PARAMETER]]","[ActorInfo, setRole]"
"E:\project-DataSets20240917\spring-data-neo4j","[930ac91144f11825053dda63773e62ac9d1edcf9, a1e7c0d934fb9765d62ca042ba22c4c310fb882f, b1336af072b037251c0b6f2851b2586d0cd03692, b96bcf619520e15d5b81962b8f6ebb5447a317e6]","[NO_NOISE, NO_NOISE, NO_NOISE, NO_NOISE]","[ActorInfo]"
"E:\project-DataSets20240917\spring-data-neo4j","[a0413ba059743cfad88729000c8c1390eb4ee6a5, b66fecd9925ceeba1b5ffded7ecb575a6367b9c8, cdf9c1b043a45dede7da578afb08292e1da83391, d35144107d6c953689e56298bd5971760a7d720d]","[[spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorInfo.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE, NO_NOISE]","[ActorInfo, compareTo, setName]"
"E:\project-DataSets20240917\spring-data-neo4j","[1a145124aa0065e2d30e7758592d6f31b3ced602, 2cdc18538831318c6b12602e7356efaf2f9a70bc, 4fe5173df6811fc18ebd6f8d77a3cb4bec2f7dee, 6ce8f6c4c32568b80206ccb28a3aebeb1f256388]","[[spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/parser/ActorData.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/parser/ActorData.java|RENAME_PARAMETER, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/parser/ImdbParser.java|ADD_VARIABLE_MODIFIER, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/parser/ImdbReader.java|RENAME_PARAMETER, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/parser/RoleData.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/parser/RoleData.java|RENAME_PARAMETER, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorFindControllerDelegate.java|INVERT_CONDITION, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorFindControllerDelegate.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorFindControllerDelegate.java|RENAME_PARAMETER, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorFindControllerDelegate.java|RENAME_VARIABLE, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorInfo.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/ActorInfo.java|RENAME_PARAMETER, spring-data-neo4j-examples/imdb/src/main/java/org/neo4j/examples/imdb/web/SetupControllerDelegate.java|RENAME_PARAMETER], NO_NOISE, NO_NOISE, NO_NOISE]","[ActorData, ActorInfo, ImdbParser, MovieInfo, RoleData, World, compareTo, equals, getFieldName, getFileReader, getModel, getMovieRoles, getName, getRole, getTitle, hashCode, newActors, newMovies, parseMovies, setName, setRole, setTitle]"
"E:\project-DataSets20240917\spring-data-neo4j","[0863cc1a3555bde4896aacd41a0da5bc308384f9, 5b2d691ce5e31bc7e20a218b3d6e25d6d34a7f60, 87228674bcdb55d13913950792174262ff48264b, b9f51bb166fe3ae88fbacf29950636f6040f6863]","[NO_NOISE, [spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_PARAMETER], [spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_PARAMETER], NO_NOISE]","[addRocketRouteTo, canBeReachedFrom, equals, getId, hashCode]"
"E:\project-DataSets20240917\spring-data-neo4j","[310b67b5c6f1798d0ba4b7b5158f1a7aa33318b5, 4c298a9cd294f27cdee889f69ffc97530d6897c5, a79f28a9a3f5f11e72a3ae6194708605d9ae9a2b, eeee27cfbf4891d67c1631faa4a8cb5c6f95e7c8]","[NO_NOISE, NO_NOISE, NO_NOISE, NO_NOISE]","[World, equals]"
"E:\project-DataSets20240917\spring-data-neo4j","[836765c792d1ab0e269f8b24068a5735306f2831, 996c84a87f8c6ec6a085bccbe795a4083473b175, b8e03e8a4928752bdf9b439fdfd0a5ff59e3cf6d, fe8046ad100f7b7848ed7be98c629aa08c00c013]","[NO_NOISE, [spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_PARAMETER], [spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_PARAMETER], NO_NOISE]","[World, addRocketRouteTo, canBeReachedFrom, equals]"
"E:\project-DataSets20240917\spring-data-neo4j","[36791bdeb5dea6fa5ccd0f8786b8cc446b1245c7, 6eb6f76d10e861d1cbf1ee702296d279e3849501, 744f2033cb993515ec200745ef76498b589684c0, cc66cfea18dd6c5965e767c865bb5c3150739fba]","[NO_NOISE, NO_NOISE, NO_NOISE, NO_NOISE]","[World, equals, hashCode]"
"E:\project-DataSets20240917\spring-data-neo4j","[7886e9ca1a6cb161adcfcc4db91e1f7665236e87, acbc26fafafb19d1c940ebc5e16b232924a8d7fd, af22c514d0a60d9a5d4fb3d76d82c6ec88dd17d1, e6493c38e26a1f9b7cca018a96e7615c2ee649c7]","[NO_NOISE, [spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|MODIFY_ATTRIBUTE_ANNOTATION, spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_PARAMETER], [spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_ATTRIBUTE, spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_VARIABLE], [spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|MODIFY_ATTRIBUTE_ANNOTATION, spring-data-neo4j-examples/hello-worlds/src/main/java/org/springframework/data/neo4j/examples/hellograph/World.java|RENAME_ATTRIBUTE]]","[World, equals, getId, getName, hashCode, toString]"
